SKU,Barcode,Name,Price
570,7802950003550,"Comida de bebes Picado Pollo y Verduras Nestlé ""Naturnes""",2200
571,7622300842444,Polvo para hornear Royal 30g,500
572,7803000000475,Polvo de Levadura Lefersa 10g,400
573,7802420005992,Polvo de Chocolate y proteínas ColaCao NutriAction 250g,4100
574,7801305003634,Caja con Primavera de Verduras Wasil 340g,1600
575,7801305003658,Caja con Arvejas Wasil 340g,1100
576,7801305004099,Caja con Porotos Negros Wasil 380g,1600
577,7801305004082,Caja con Lentejas 6mm Wasil 380g,1600
578,7801305005157,Caja con Porotos Rojos Wasil 380g,1600
579,7801305005584,Caja con Duraznos en mitades Wasil 500g,1600
580,7801305005560,Caja de Frutillas enteras Wasil 500g,1600
581,7801305004075,Caja de Garbanzos Wasil 500g,1600
582,7410031610001,Papel de Aluminio StarBrand 7.6metros,1300
583,7410031610766,Plastic Wrap StarBrand 100metros,1500
584,24,"Cono helado fantasia gomita ""Helado de invierno""",250
585,7802950006308,Caldo Deshidratado sabor Gallina Maggi 1unidad $150/4unidades $500,150
586,7613033825835,Caldo Deshidratado sabor Costilla Maggi 1unidd $150/4unidades $500,150
587,7802950006407,Caldo Deshidratado sabor Carne Maggi 1unidad $150/4unidades $500,150
588,7613033825804,Caldo Deshidatado sabor Verduras Maggi 1unidad $150/4unidades,150
589,2410503i1,Vaso Transparente 500cc 1unidades,100
590,781718996204,Miel de Abeja Calidad Apicola SanJose 1kg,8000
591,7801875058065,Te de Manzanilla Supremo 20bolsitas,1500
592,7805040005748,Chancaca Deliciosa 200g,1600
593,7896007811007,Salsa de Soya Tradicional Sakura 150ml,1200
594,7802410820154,Salsa de Soya LaPrimera 250ml,1200
595,7896007811311,Salsa de Ajo Kenko 150ml,1200
596,7802351534707,Jugo de Limon DonJuan 500ml,1000
597,7802351524807,Vinagre de Vino Tinto DonJuan 500ml,1100
598,7802351524708,Vinagre de Vino Blanco DonJuan 500ml,1100
599,7802810009586,Aceite Vegetal Cristal 900ml,2600
600,7802810002099,Aceite Vegetal Maravilla Chef 1litro,3500
601,7803600981532,Sal Parrillera Lobos 750g,1900
602,7803600031275,Sal Fina Lobos 1kg,800
603,7803600011246,Sal fina Venus 1kg,500
604,7804461000264,Duraznos en Mitades en Lata SanRemo 425g,1800
605,8410721071364,Surtido de Mariscos ConoSur 425g,2300
606,7801305102443,Choclitos para coctel Wasil 425g,3100
607,7804625100007,Jurel al natural SanAmbrosio 425g,1600
608,7804621471408,Atun con aceite Desmenuzado Antartic 160g,1000
609,7702367003900,Atun con aceite de maravilla Lomitos Van Camp's 160g,1800
610,7702367003917,Atun en agua Lomitos Van Camp's 160g,1800
611,7801250000320,Choritos en agua Angelmo 190g,1450
612,7804621471484,Atun en agua Lomitos Antartic 140g,1400
